image,mode,config,points,generations,seed,training_fitness,scalar_score,output_file
dog,scalar,scalar,300,25000,42,0.99852155,0.99852155,scalar_dog_pts300_g25000.png
dog,hff,hff_grid8x8_truenorth_sal,300,25000,42,0.99943776,0.99754390,HFF_dog_grid8x8_pts300_g25000_truenorth_sal.png
dog,hff,hff_grid16x16_truenorth_sal,300,25000,42,0.99936445,0.99584999,HFF_dog_grid16x16_pts300_g25000_truenorth_sal.png
dog,scalar,scalar,600,25000,42,0.99927278,0.99927218,scalar_dog_pts600_g25000.png
dog,hff,hff_grid8x8_truenorth_sal,600,25000,42,0.99970357,0.99888027,HFF_dog_grid8x8_pts600_g25000_truenorth_sal.png
dog,hff,hff_grid16x16_truenorth_sal,600,25000,42,0.99968711,0.99717810,HFF_dog_grid16x16_pts600_g25000_truenorth_sal.png
dog,scalar,scalar,1000,25000,42,0.99960269,0.99960188,scalar_dog_pts1000_g25000.png
dog,hff,hff_grid8x8_truenorth_sal,1000,25000,42,0.99983653,0.99940729,HFF_dog_grid8x8_pts1000_g25000_truenorth_sal.png
dog,hff,hff_grid16x16_truenorth_sal,1000,25000,42,0.99982614,0.99934987,HFF_dog_grid16x16_pts1000_g25000_truenorth_sal.png
elon,scalar,scalar,300,25000,42,0.99920945,0.99920935,scalar_elon_pts300_g25000.png
elon,hff,hff_grid8x8_truenorth_sal,300,25000,42,0.99958216,0.99845454,HFF_elon_grid8x8_pts300_g25000_truenorth_sal.png
elon,hff,hff_grid16x16_truenorth_sal,300,25000,42,0.99940381,0.99816519,HFF_elon_grid16x16_pts300_g25000_truenorth_sal.png
elon,scalar,scalar,600,25000,42,0.99958450,0.99958234,scalar_elon_pts600_g25000.png
elon,hff,hff_grid8x8_truenorth_sal,600,25000,42,0.99971778,0.99915375,HFF_elon_grid8x8_pts600_g25000_truenorth_sal.png
elon,hff,hff_grid16x16_truenorth_sal,600,25000,42,0.99961344,0.99895108,HFF_elon_grid16x16_pts600_g25000_truenorth_sal.png
elon,scalar,scalar,1000,25000,42,0.99979405,0.99978959,scalar_elon_pts1000_g25000.png
elon,hff,hff_grid8x8_truenorth_sal,1000,25000,42,0.99982436,0.99954965,HFF_elon_grid8x8_pts1000_g25000_truenorth_sal.png
elon,hff,hff_grid16x16_truenorth_sal,1000,25000,42,0.99980070,0.99949906,HFF_elon_grid16x16_pts1000_g25000_truenorth_sal.png
obama,scalar,scalar,300,25000,42,0.99880325,0.99880325,scalar_obama_pts300_g25000.png
obama,hff,hff_grid8x8_truenorth_sal,300,25000,42,0.99948813,0.99777715,HFF_obama_grid8x8_pts300_g25000_truenorth_sal.png
obama,hff,hff_grid16x16_truenorth_sal,300,25000,42,0.99926925,0.99207772,HFF_obama_grid16x16_pts300_g25000_truenorth_sal.png
obama,scalar,scalar,600,25000,42,0.99932652,0.99932654,scalar_obama_pts600_g25000.png
obama,hff,hff_grid8x8_truenorth_sal,600,25000,42,0.99969954,0.99882654,HFF_obama_grid8x8_pts600_g25000_truenorth_sal.png
obama,hff,hff_grid16x16_truenorth_sal,600,25000,42,0.99964560,0.99833637,HFF_obama_grid16x16_pts600_g25000_truenorth_sal.png
obama,scalar,scalar,1000,25000,42,0.99959130,0.99959093,scalar_obama_pts1000_g25000.png
