image,mode,config,seed,points,generations,mse,psnr_db,file
dog,scalar,scalar,42,300,5000,614.816407,20.2433,scalar_dog_pts300_g5000.png
dog,scalar,scalar,42,300,10000,610.560946,20.2735,scalar_dog_pts300_g10000.png
dog,hff,hff_8x8_truenorth,42,300,10000,675.562375,19.8341,HFF_dog_grid8x8_pts300_g10000_truenorth.png
dog,hff,hff_8x8_truenorth_sal,42,300,10000,678.532008,19.8151,HFF_dog_grid8x8_pts300_g10000_truenorth_sal.png
dog,hff,hff_16x16_truenorth,42,300,10000,707.431535,19.6340,HFF_dog_grid16x16_pts300_g10000_truenorth.png
dog,hff,hff_16x16_truenorth_sal,42,300,10000,717.108496,19.5750,HFF_dog_grid16x16_pts300_g10000_truenorth_sal.png
dog,hff,hff_32x32_truenorth_sal,42,300,10000,743.260548,19.4194,HFF_dog_grid32x32_pts300_g10000_truenorth_sal.png
dog,hff,hff_32x32_truenorth,42,300,10000,1035.953217,17.9774,HFF_dog_grid32x32_pts300_g10000_truenorth.png
dog,scalar,scalar,42,300,25000,607.620116,20.2945,scalar_dog_pts300_g25000.png
dog,hff,hff_8x8_truenorth_sal,42,300,25000,674.405451,19.8416,HFF_dog_grid8x8_pts300_g25000_truenorth_sal.png
dog,scalar,scalar,42,600,5000,574.869489,20.5351,scalar_dog_pts600_g5000.png
dog,scalar,scalar,42,600,10000,575.755357,20.5284,scalar_dog_pts600_g10000.png
dog,hff,hff_8x8_truenorth,42,600,10000,587.906654,20.4377,HFF_dog_grid8x8_pts600_g10000_truenorth.png
dog,hff,hff_8x8_truenorth_sal,42,600,10000,595.835893,20.3795,HFF_dog_grid8x8_pts600_g10000_truenorth_sal.png
dog,hff,hff_16x16_truenorth,42,600,10000,632.670987,20.1190,HFF_dog_grid16x16_pts600_g10000_truenorth.png
dog,hff,hff_32x32_truenorth,42,600,10000,638.620323,20.0784,HFF_dog_grid32x32_pts600_g10000_truenorth.png
dog,hff,hff_16x16_truenorth_sal,42,600,10000,649.662014,20.0039,HFF_dog_grid16x16_pts600_g10000_truenorth_sal.png
dog,hff,hff_32x32_truenorth_sal,42,600,10000,686.972049,19.7614,HFF_dog_grid32x32_pts600_g10000_truenorth_sal.png
dog,scalar,scalar,123,1000,15000,549.033042,20.7348,scalar_dog-s123_pts1000_g15000.png
dog,scalar,scalar,1,1000,15000,549.878866,20.7281,scalar_dog-s1_pts1000_g15000.png
dog,scalar,scalar,7,1000,15000,554.584718,20.6911,scalar_dog-s7_pts1000_g15000.png
dog,hff,hff_8x8_truenorth_sal,1,1000,15000,558.090426,20.6638,HFF_dog-s1_grid8x8_pts1000_g15000_truenorth_sal.png
dog,hff,hff_8x8_truenorth_sal,123,1000,15000,558.180799,20.6631,HFF_dog-s123_grid8x8_pts1000_g15000_truenorth_sal.png
dog,hff,hff_8x8_truenorth_sal,7,1000,15000,560.338913,20.6463,HFF_dog-s7_grid8x8_pts1000_g15000_truenorth_sal.png
