gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
0,16739.01792384,18.4836,3656,198.4421,122.3604,1948.4000,755.7077,0.00
1,16739.01792384,18.4836,3656,96.6005,51.6580,2498.1500,596.2231,0.06
2,19359.46553999,1.0000,4097,46.1264,29.5125,3130.9250,513.1427,0.12
3,19400.33570565,1.0000,4097,16.3614,13.7260,3697.2500,358.6222,0.17
4,19400.33570565,1.0000,4097,6.6132,9.5591,3959.3000,251.4501,0.22
5,19410.76033660,1.0000,4097,3.9812,7.6486,4020.2000,201.6156,0.27
6,19410.76033660,1.0000,4097,4.3784,9.1526,4016.4500,239.0593,0.32
7,19445.94403944,1.0000,4097,7.8104,16.1385,3937.8500,364.4932,0.38
8,19508.54149847,1.0000,4097,5.1002,9.8525,4003.1000,257.3820,0.43
9,19508.54149847,1.0000,4097,5.0411,11.2394,4002.1250,277.2329,0.47
10,19508.54149847,1.0000,4097,4.9244,9.4862,3997.6250,246.2114,0.52
11,19526.38099004,1.0000,4097,6.7818,11.1371,3960.2000,284.9469,0.57
12,19665.28924965,1.0000,4097,6.5057,11.5329,3979.4000,281.2876,0.62
13,19665.28924965,1.0000,4097,8.2868,13.2774,3918.6500,343.0897,0.67
14,19665.89624031,1.0000,4097,3.0597,5.7973,4063.7000,140.5890,0.71
15,19683.54322332,1.0000,4097,4.4351,8.5688,4029.1250,219.7914,0.76
16,19824.81344553,1.0000,4097,7.2786,11.4898,3952.4000,294.0323,0.81
17,19824.90124410,1.0000,4097,2.1455,3.7140,4081.3250,97.8903,0.86
18,19827.29954100,1.0000,4097,6.5799,12.9791,3955.7000,328.5321,0.91
19,19828.27910517,1.0000,4097,3.2391,7.9308,4053.7250,195.4873,0.96
20,19829.04251216,1.0000,4097,4.3604,7.7229,4011.4250,206.3991,1.01
21,19858.73950831,1.0000,4097,5.0486,9.1695,3998.3750,241.1599,1.05
22,19897.36801359,1.0000,4097,7.3131,13.8633,3942.2750,349.1128,1.10
23,19926.73775098,1.0000,4097,5.1680,9.3766,4001.3750,250.0435,1.15
24,19926.73775098,1.0000,4097,4.1055,8.3296,4031.3000,208.2763,1.19
25,19927.43706055,1.0000,4097,5.6405,9.3245,3978.8750,247.9112,1.24
26,19932.08038578,1.0000,4097,4.3341,9.3266,4033.4750,209.0022,1.29
27,19961.21189754,1.0000,4097,7.8904,16.0133,3936.8000,362.6811,1.33
28,19966.32775838,1.0000,4097,5.3635,9.6620,3998.2250,254.6639,1.38
29,19966.32775838,1.0000,4097,5.7956,10.9571,3977.9750,275.8731,1.42
30,19988.68474910,1.0000,4097,6.7510,9.8795,3956.8250,265.9471,1.47
31,19988.68474910,1.0000,4097,5.3439,11.2900,3991.5500,275.5362,1.52
32,19988.68474910,1.0000,4097,6.6352,13.1973,3968.0750,321.0655,1.57
33,20024.32758733,1.0000,4097,5.6096,11.9561,3987.2000,296.5905,1.61
