rank,fitness,T,m
0,21949.75711977,1.0000,4097
1,21946.30536563,1.0000,4097
2,21940.40049286,1.0000,4097
3,21940.07167415,1.0000,4097
4,21939.68262545,1.0000,4097
5,21939.64550045,1.0000,4097
6,21924.76671129,1.0000,4097
7,21914.03762273,1.0000,4097
8,21896.05522198,1.0000,4097
9,21894.73447492,1.0000,4097
10,21878.08660746,1.0000,4097
11,21869.75825916,1.0000,4097
12,21869.70528532,1.0000,4097
13,21853.04713460,1.0000,4097
14,21850.14114158,1.0000,4097
15,21848.59303012,1.0000,4097
16,21837.86180494,1.0000,4097
17,21836.10003288,1.0000,4097
18,21822.87121527,1.0000,4097
19,21819.22425209,1.0000,4097
20,21815.56528421,1.0000,4097
21,21813.81864756,1.0000,4097
22,21801.96894502,1.0000,4097
23,21797.19929655,1.0000,4097
24,21772.15743165,1.0000,4097
25,21760.82080048,1.0000,4097
26,21757.12732108,1.0000,4097
27,21700.46669390,1.0000,4097
28,21589.99335011,1.0000,4097
29,21544.81357668,1.0000,4097
30,21458.89555428,3.8444,4097
31,21423.21909173,8.4024,4097
32,21304.17504546,4.8197,4097
33,18889.02977304,17.3387,3695
34,18439.98528557,20.3913,3593
35,18115.94573710,22.0103,3518
36,17997.70619449,22.4002,3518
37,16117.21875827,38.0964,3164
38,15569.29818791,40.0122,3089
39,13956.94766205,56.7626,2858
