gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
0,4.60256321,27.3342,3371,198.4421,122.3604,1948.4000,755.7077,0.00
1,4.60256321,27.3342,3371,96.9687,51.3785,2492.6000,590.4672,0.06
2,4.68870956,1.0000,4097,47.0647,30.2669,3109.6250,527.2726,0.11
3,4.75119148,1.0000,4097,19.4229,16.8276,3628.4000,426.2704,0.16
4,4.75119148,1.0000,4097,8.0871,11.6992,3929.5250,309.9197,0.21
5,4.78120330,4.2021,4097,4.9381,7.8371,4008.1250,208.3626,0.26
6,4.78120330,4.2021,4097,4.9479,9.2594,4015.5500,241.7408,0.31
7,4.81561536,1.0000,4097,8.0506,16.1000,3934.2500,363.7373,0.36
8,4.81561536,1.0000,4097,5.7407,9.6675,4004.1500,257.3739,0.41
9,4.81713497,1.0000,4097,5.7788,11.5115,3996.5750,289.9652,0.46
10,4.82433312,1.0000,4097,5.1667,9.5920,3995.2250,251.1919,0.51
11,4.83821260,1.0000,4097,6.7818,11.1371,3961.2500,283.0105,0.56
12,4.84098790,1.0000,4097,6.5057,11.5329,3978.8000,280.3466,0.61
13,4.84098790,1.0000,4097,8.2649,13.2519,3918.4250,341.0876,0.66
14,4.84116907,1.0000,4097,3.0597,5.7973,4064.3750,141.1136,0.71
15,4.84116907,1.0000,4097,4.1320,8.4497,4032.7250,214.2690,0.75
16,4.85250050,1.0000,4097,6.8838,11.2225,3955.3250,288.8203,0.80
17,4.85276995,1.0000,4097,1.9048,3.6621,4081.3250,97.8903,0.85
18,4.85337408,1.0000,4097,6.5799,12.9791,3955.3250,329.1552,0.90
19,4.86071422,1.0000,4097,3.2695,7.9245,4053.7250,195.4873,0.94
20,4.86126255,1.0000,4097,4.3604,7.7229,4011.2750,206.0466,0.99
21,4.87199889,1.0000,4097,5.0486,9.1695,4000.6250,239.7647,1.04
22,4.87199889,1.0000,4097,7.3131,13.8633,3942.2000,348.8884,1.09
23,4.87409925,1.0000,4097,5.1680,9.3766,4001.5250,249.6974,1.13
24,4.87409925,1.0000,4097,4.1055,8.3296,4031.1500,208.4622,1.18
25,4.87709568,1.0000,4097,5.6524,9.3042,3980.4500,246.0910,1.23
26,4.88409741,1.0000,4097,4.3222,9.3016,4036.7000,207.3712,1.27
27,4.88459035,1.0000,4097,7.8904,16.0133,3937.0250,362.1544,1.32
28,4.88580184,1.0000,4097,5.3635,9.6620,3998.9000,253.4691,1.37
29,4.88580184,1.0000,4097,5.7854,10.9614,3976.7750,275.9856,1.41
30,4.93004129,1.0000,4097,6.7296,9.8488,3959.8250,261.0784,1.46
31,4.93004129,1.0000,4097,5.3439,11.2900,3993.4250,274.0012,1.51
32,4.93336461,1.0000,4097,6.6309,13.1991,3969.7250,320.4387,1.56
33,4.93460287,1.0000,4097,5.6096,11.9561,3988.1000,296.0387,1.60
34,4.94847642,1.0000,4097,3.6498,8.5285,4033.0250,224.5119,1.65
35,4.94847642,1.0000,4097,6.9398,11.7971,3948.2000,309.7729,1.70
36,4.94854861,1.0000,4097,6.9411,13.3485,3973.1000,324.4165,1.75
37,4.95242652,1.0940,4097,5.8121,11.6361,3993.3500,296.0484,1.80
38,4.95242652,1.0940,4097,6.6566,11.9368,3968.9750,307.8323,1.85
39,4.95242652,1.0940,4097,7.4768,13.0954,3955.7750,330.2695,1.89
40,4.95508157,1.0000,4097,5.3638,11.7658,3997.1750,275.3307,1.94
41,4.96839061,1.0000,4097,5.0636,9.7779,3994.7000,257.8123,1.99
42,4.96839061,1.0000,4097,9.0010,13.8985,3893.0750,348.9011,2.03
43,4.96839061,1.0000,4097,6.2141,12.8580,3970.4000,316.6402,2.08
44,4.96839061,1.0000,4097,9.4788,17.3109,3908.5250,393.3347,2.13
45,4.99520645,1.0000,4097,4.2724,7.6485,4015.8500,199.9100,2.18
46,4.99810653,1.0000,4097,3.4022,7.0014,4041.9500,181.3432,2.23
47,4.99810653,1.0000,4097,7.7791,14.5446,3927.7250,354.8411,2.27
48,4.99810653,1.0000,4097,5.3161,8.8247,3987.7250,235.0495,2.32
49,5.01144383,1.0000,4097,4.3011,8.8485,4013.6750,235.1936,2.36
50,5.03515129,1.0000,4097,4.6796,10.8976,4022.3000,246.9073,2.41
51,5.03515129,1.0000,4097,5.3409,9.0796,3996.4250,239.5759,2.46
52,5.03515129,1.0000,4097,5.2697,10.0778,3994.1750,256.6114,2.50
53,5.03527352,1.0000,4097,7.5022,14.7174,3950.9750,339.1018,2.55
54,5.03527352,1.0000,4097,6.6799,10.5970,3972.6500,278.9903,2.59
55,5.04645344,1.0000,4097,5.2909,10.7786,3990.8000,276.3966,2.64
56,5.04826456,1.0000,4097,7.0901,15.8612,3962.5250,349.0967,2.69
57,5.05093045,1.0000,4097,5.3530,12.4121,4004.6750,285.6651,2.73
58,5.05274532,1.0000,4097,5.2543,12.0285,4012.0250,272.8313,2.78
59,5.05335408,1.0000,4097,9.0130,15.4592,3913.7000,369.0535,2.82
60,5.05428263,1.0000,4097,2.2664,4.7787,4066.6250,130.5227,2.87
61,5.05769946,1.0000,4097,4.6565,9.9928,4016.5250,249.1535,2.92
62,5.05783906,1.0000,4097,10.0226,16.3786,3874.2500,399.0416,2.96
63,5.05841649,1.0000,4097,5.0615,9.1930,3998.4500,244.2243,3.01
64,5.06062120,1.0000,4097,3.9449,6.4048,4033.4750,165.8119,3.06
