rank,fitness,T,m
0,5.87421197,1.0000,4097
1,5.87368524,1.0000,4097
2,5.87365947,1.0000,4097
3,5.87350430,1.0000,4097
4,5.85233494,1.0000,4097
5,5.85195658,1.0000,4097
6,5.84653669,1.0000,4097
7,5.83410999,1.0000,4097
8,5.82669387,1.0000,4097
9,5.82552087,1.0000,4097
10,5.81575043,1.0000,4097
11,5.81336459,1.0000,4097
12,5.81142686,1.0000,4097
13,5.80772634,1.0000,4097
14,5.80651690,1.0000,4097
15,5.80642589,1.0000,4097
16,5.80046519,1.0000,4097
17,5.79875639,1.0000,4097
18,5.79803281,1.0000,4097
19,5.78455764,1.0000,4097
20,5.77444266,1.0000,4097
21,5.77050049,1.0000,4097
22,5.77012716,1.0000,4097
23,5.76792081,1.0000,4097
24,5.76341732,1.0000,4097
25,5.75850663,1.0000,4097
26,5.75810514,1.0000,4097
27,5.75634537,1.0000,4097
28,5.72962809,1.0000,4097
29,5.71718950,1.0000,4097
30,5.67204790,1.0000,4097
31,5.66047247,1.0000,4097
32,5.58548361,4.9392,4097
33,5.52892810,12.6448,3848
34,5.50741447,16.7113,3722
35,5.40621065,34.1077,3251
36,5.38659041,26.3848,3389
37,5.36416219,35.1675,3200
38,5.34431737,54.0934,2906
39,5.34330084,9.3865,4079
