rank,fitness,T,m
0,5.29729953,1.0000,4097
1,5.29544133,1.0000,4097
2,5.29537719,1.0000,4097
3,5.29482962,1.0000,4097
4,5.29292187,1.0000,4097
5,5.29289838,1.0000,4097
6,5.28780778,1.0000,4097
7,5.28749317,1.0000,4097
8,5.28739560,1.0000,4097
9,5.28649875,1.0000,4097
10,5.27600649,1.0000,4097
11,5.27293268,1.0000,4097
12,5.27086027,1.0000,4097
13,5.26836543,1.0000,4097
14,5.26667870,1.0000,4097
15,5.26576855,1.0000,4097
16,5.26347217,1.0000,4097
17,5.25603073,1.0000,4097
18,5.25600307,1.0000,4097
19,5.25143875,1.0000,4097
20,5.24693612,1.0000,4097
21,5.24687491,1.0000,4097
22,5.24586970,1.0000,4097
23,5.24387868,1.0000,4097
24,5.24166272,1.0000,4097
25,5.23812330,1.0000,4097
26,5.23618067,1.0000,4097
27,5.23466497,1.0000,4097
28,5.21855205,1.0000,4097
29,5.21044802,1.0000,4097
30,5.18047547,8.4024,4097
31,5.16644321,3.8444,4097
32,5.15902187,4.8197,4097
33,5.10386748,17.3387,3722
34,5.08894678,22.0103,3527
35,5.07672556,22.4002,3527
36,5.04915296,20.3913,3593
37,5.00967265,40.0122,3089
38,4.98068690,38.0964,3164
39,4.93913021,56.7626,2858
