gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
0,1.00000000,149.8383,1907,198.4421,122.3604,1948.4000,755.7077,0.00
1,1.00000000,149.8383,1907,227.4454,106.8340,1706.6000,552.9620,0.06
2,1.00000000,149.8383,1907,207.5905,119.6162,1855.4750,697.1363,0.13
3,1.00000000,149.8383,1907,182.3445,117.1416,2051.9750,847.4428,0.19
4,1.00000000,149.8383,1907,162.5248,120.1888,2214.8000,873.1827,0.25
5,1.00000000,149.8383,1907,177.0614,125.0888,2073.8000,779.2323,0.31
6,1.00000000,149.8383,1907,193.1963,123.4781,1966.4000,743.7139,0.38
7,1.00000000,149.8383,1907,179.7819,114.2790,2025.5750,759.3693,0.43
8,1.00000000,149.8383,1907,178.4684,101.9085,2000.3000,728.8688,0.49
9,1.00000000,149.8383,1907,161.4525,103.8969,2121.8750,749.3838,0.55
10,1.00000000,149.8383,1907,156.8484,79.5631,2039.3750,542.2292,0.61
11,1.00000000,149.8383,1907,169.7943,83.1763,1927.7000,436.7854,0.67
12,1.00000000,149.8383,1907,187.6288,104.4999,1894.4000,554.2739,0.73
13,1.00000000,149.8383,1907,184.1174,104.0841,1916.4500,581.3655,0.79
14,1.00000000,149.8383,1907,196.1491,101.5740,1833.5000,502.9247,0.85
15,1.00000000,149.8383,1907,185.5329,91.2166,1900.7000,566.1393,0.91
16,1.00000000,149.8383,1907,192.1805,97.0548,1875.9500,556.8240,0.97
17,1.00000000,149.8383,1907,157.6889,101.8355,2159.3000,749.0396,1.03
18,1.00000000,149.8383,1907,152.1637,92.4999,2166.6500,749.6537,1.09
19,1.00000000,149.8383,1907,173.3251,91.5845,1967.4500,565.0692,1.14
20,1.00000000,149.8383,1907,175.6719,90.4429,1942.3250,532.3489,1.20
21,1.00000000,149.8383,1907,139.1115,75.5636,2154.8000,539.3408,1.25
22,1.00000000,149.8383,1907,151.4024,85.0112,2100.5000,589.8354,1.31
23,1.00000000,149.8383,1907,136.4847,79.1904,2228.0750,682.5611,1.37
24,1.00000000,149.8383,1907,131.3698,73.8023,2239.1000,626.1106,1.42
25,1.00000000,149.8383,1907,127.4329,63.6862,2246.1500,646.3688,1.47
26,1.00000000,149.8383,1907,144.4444,64.1374,2089.1000,545.2978,1.53
27,1.00000000,149.8383,1907,152.6052,68.9525,2037.8000,514.9882,1.59
28,1.00000000,149.8383,1907,159.3394,67.9592,1988.7500,482.2106,1.65
29,1.00000000,149.8383,1907,161.9332,72.1781,2002.0250,527.2189,1.71
30,1.00000000,149.8383,1907,152.6614,61.7764,2022.2000,489.0395,1.76
31,1.00000000,149.8383,1907,150.7061,69.2058,2076.0500,607.7635,1.82
32,1.00000000,149.8383,1907,139.3126,82.5407,2255.1500,802.8406,1.87
33,1.00000000,149.8383,1907,153.7203,88.2306,2171.9000,814.1342,1.93
34,1.00000000,149.8383,1907,132.9789,91.8978,2391.3500,924.0777,1.99
35,1.00000000,149.8383,1907,134.7510,82.0925,2266.8500,695.5951,2.04
36,1.00000000,149.8383,1907,120.0603,80.1964,2368.6250,664.1641,2.10
37,1.00000000,149.8383,1907,92.1049,59.9939,2571.0500,629.6115,2.15
38,1.00000000,149.8383,1907,102.8070,80.4302,2569.4750,726.1750,2.20
39,1.00000000,149.8383,1907,87.2127,76.3934,2741.7500,768.8245,2.26
40,1.00000000,149.8383,1907,111.9074,85.8970,2533.4750,868.1712,2.31
41,1.00000000,149.8383,1907,98.3233,84.8939,2665.1000,837.3927,2.37
42,1.00000000,149.8383,1907,83.3246,65.9283,2720.9750,689.1221,2.42
43,1.00000000,149.8383,1907,75.6758,64.1856,2841.9500,772.6400,2.48
44,1.00000000,149.8383,1907,95.8158,77.1757,2622.7250,735.0958,2.53
45,1.00000000,149.8383,1907,113.6461,91.2888,2525.5250,842.2173,2.59
46,1.00000000,149.8383,1907,107.6267,92.0311,2643.8000,940.7317,2.64
47,1.00000000,149.8383,1907,155.4971,91.5634,2197.7000,837.8723,2.70
48,1.00000000,149.8383,1907,152.3492,93.6761,2202.9500,769.8875,2.75
49,1.00000000,149.8383,1907,146.6418,83.7704,2199.0500,737.4548,2.81
50,1.00000000,149.8383,1907,116.9833,76.6795,2402.2250,702.7833,2.86
51,1.00000000,149.8383,1907,108.0950,74.7837,2476.3250,691.2121,2.92
52,1.00000000,149.8383,1907,114.8266,81.4217,2440.6250,705.3376,2.97
53,1.00000000,149.8383,1907,122.4576,92.8333,2434.4000,775.4835,3.03
54,1.00000000,149.8383,1907,116.4582,91.8469,2498.6750,824.3704,3.08
55,1.00000000,149.8383,1907,90.9980,76.6274,2729.3750,863.9706,3.13
56,1.00000000,149.8383,1907,130.9303,81.3975,2300.1500,720.1971,3.19
57,1.00000000,149.8383,1907,135.1502,74.9785,2226.8750,679.5575,3.24
58,1.00000000,149.8383,1907,142.0810,68.5465,2147.4500,622.6285,3.30
59,1.00000000,149.8383,1907,150.8989,88.3853,2191.7000,778.4840,3.35
60,1.00000000,149.8383,1907,173.5925,85.4983,2038.6250,806.5268,3.41
61,1.00000000,149.8383,1907,183.7132,78.7345,1917.5750,643.9565,3.46
62,1.00000000,149.8383,1907,192.4521,75.9418,1827.8000,476.7588,3.51
63,1.00000000,149.8383,1907,175.4809,75.4990,1925.3000,517.0223,3.56
64,1.00000000,149.8383,1907,166.0748,81.0662,2018.0000,586.1185,3.61
65,1.00000000,149.8383,1907,145.3182,75.2059,2154.3500,654.7011,3.67
66,1.00000000,149.8383,1907,155.8324,65.8626,2038.0250,621.8213,3.72
67,1.00000000,149.8383,1907,119.4112,77.4817,2398.9250,762.4426,3.78
68,1.00000000,149.8383,1907,120.1480,85.5010,2455.3250,865.4695,3.83
69,1.00000000,149.8383,1907,152.7212,78.9971,2107.8500,634.4560,3.89
70,1.00000000,149.8383,1907,141.2181,73.1585,2148.9500,547.1779,3.94
71,1.00000000,149.8383,1907,107.5631,62.2280,2393.9000,552.0135,3.99
72,1.00000000,149.8383,1907,108.0139,72.0159,2470.0250,723.8865,4.05
73,1.00000000,149.8383,1907,85.3355,71.0180,2745.2000,781.3093,4.10
74,1.00000000,149.8383,1907,74.7043,65.9538,2875.9250,823.5867,4.15
75,1.00000000,149.8383,1907,87.5808,76.6447,2774.8250,888.9211,4.20
76,1.00000000,149.8383,1907,106.4625,75.0199,2524.7750,824.5956,4.25
