rank,fitness,T,m
0,1.00000000,149.8383,1907
1,1.00000000,27.3342,3371
2,1.00000000,242.0334,1529
3,1.00000000,84.3187,2531
4,1.00000000,48.0607,2957
5,1.00000000,103.4853,2261
6,1.00000000,1.0000,4097
7,1.00000000,70.0333,2699
8,1.00000000,77.9523,2606
9,1.00000000,103.4853,2261
10,1.00000000,61.4802,2783
11,1.00000000,192.0499,1697
12,1.00000000,102.9680,2261
13,1.00000000,140.1458,1982
14,1.00000000,96.5464,2303
15,1.00000000,27.3342,3371
16,1.00000000,84.3187,2531
17,1.00000000,1.0000,4097
18,1.00000000,36.3462,3197
19,1.00000000,104.6597,2240
20,1.00000000,242.0334,1529
21,1.00000000,140.1458,1982
22,1.00000000,24.4266,3428
23,1.00000000,109.9403,2171
24,1.00000000,165.7010,1811
25,1.00000000,55.3518,2879
26,1.00000000,168.0928,1799
27,1.00000000,84.3187,2531
28,1.00000000,27.8924,3365
29,1.00000000,36.2388,3197
30,1.00000000,27.3342,3371
31,1.00000000,83.7530,2531
32,1.00000000,27.3342,3371
33,1.00000000,237.2680,1532
34,1.00000000,39.0383,3140
35,1.00000000,28.7242,3332
36,1.00000000,114.3587,2150
37,1.00000000,140.1458,1982
38,1.00000000,95.1593,2312
39,1.00000000,15.1127,3773
