gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
0,0.99680884,27.3342,3371,198.4421,122.3604,1948.4000,755.7077,0.00
1,0.99680884,27.3342,3371,96.9687,51.3785,2492.6000,590.4672,0.06
2,0.99707219,1.0000,4097,47.0647,30.2669,3109.6250,527.2726,0.12
3,0.99724957,1.0000,4097,19.4229,16.8276,3628.4000,426.2704,0.19
4,0.99724957,1.0000,4097,8.0871,11.6992,3929.5250,309.9197,0.24
5,0.99733091,4.2021,4097,4.9381,7.8371,4008.1250,208.3626,0.30
6,0.99733091,4.2021,4097,4.9479,9.2594,4015.5500,241.7408,0.36
7,0.99742122,1.0000,4097,8.0506,16.1000,3934.2500,363.7373,0.42
8,0.99742122,1.0000,4097,5.7407,9.6675,4004.1500,257.3739,0.48
9,0.99742514,1.0000,4097,5.7788,11.5115,3996.5750,289.9652,0.54
10,0.99744361,1.0000,4097,5.1667,9.5920,3995.2250,251.1919,0.59
11,0.99747886,1.0000,4097,6.7818,11.1371,3961.2500,283.0105,0.64
12,0.99748585,1.0000,4097,6.5057,11.5329,3978.8000,280.3466,0.70
13,0.99748585,1.0000,4097,8.2649,13.2519,3918.4250,341.0876,0.75
14,0.99748630,1.0000,4097,3.0597,5.7973,4064.3750,141.1136,0.81
15,0.99748630,1.0000,4097,4.1320,8.4497,4032.7250,214.2690,0.86
16,0.99751463,1.0000,4097,6.8838,11.2225,3955.3250,288.8203,0.92
17,0.99751530,1.0000,4097,1.9048,3.6621,4081.3250,97.8903,0.97
18,0.99751680,1.0000,4097,6.5799,12.9791,3955.3250,329.1552,1.02
19,0.99753497,1.0000,4097,3.2695,7.9245,4053.7250,195.4873,1.07
20,0.99753632,1.0000,4097,4.3604,7.7229,4011.2750,206.0466,1.13
21,0.99756264,1.0000,4097,5.0486,9.1695,4000.6250,239.7647,1.18
22,0.99756264,1.0000,4097,7.3131,13.8633,3942.2000,348.8884,1.23
23,0.99756775,1.0000,4097,5.1680,9.3766,4001.5250,249.6974,1.28
24,0.99756775,1.0000,4097,4.1055,8.3296,4031.1500,208.4622,1.33
25,0.99757503,1.0000,4097,5.6524,9.3042,3980.4500,246.0910,1.39
26,0.99759195,1.0000,4097,4.3222,9.3016,4036.7000,207.3712,1.44
27,0.99759314,1.0000,4097,7.8904,16.0133,3937.0250,362.1544,1.49
28,0.99759606,1.0000,4097,5.3635,9.6620,3998.9000,253.4691,1.54
29,0.99759606,1.0000,4097,5.7854,10.9614,3976.7750,275.9856,1.60
30,0.99770011,1.0000,4097,6.7296,9.8488,3959.8250,261.0784,1.65
31,0.99770011,1.0000,4097,5.3439,11.2900,3993.4250,274.0012,1.71
32,0.99770775,1.0000,4097,6.6309,13.1991,3969.7250,320.4387,1.76
33,0.99771058,1.0000,4097,5.6096,11.9561,3988.1000,296.0387,1.81
34,0.99774213,1.0000,4097,3.6498,8.5285,4033.0250,224.5119,1.86
35,0.99774213,1.0000,4097,6.9398,11.7971,3948.2000,309.7729,1.92
36,0.99774230,1.0000,4097,6.9411,13.3485,3973.1000,324.4165,1.97
37,0.99775104,1.0940,4097,5.8121,11.6361,3993.3500,296.0484,2.03
38,0.99775104,1.0940,4097,6.6566,11.9368,3968.9750,307.8323,2.08
39,0.99775104,1.0940,4097,7.4768,13.0954,3955.7750,330.2695,2.13
40,0.99775700,1.0000,4097,5.3638,11.7658,3997.1750,275.3307,2.19
41,0.99778667,1.0000,4097,5.0636,9.7779,3994.7000,257.8123,2.24
42,0.99778667,1.0000,4097,9.0010,13.8985,3893.0750,348.9011,2.29
43,0.99778667,1.0000,4097,6.2141,12.8580,3970.4000,316.6402,2.34
44,0.99778667,1.0000,4097,9.4788,17.3109,3908.5250,393.3347,2.40
45,0.99784524,1.0000,4097,4.2724,7.6485,4015.8500,199.9100,2.45
46,0.99785149,1.0000,4097,3.4022,7.0014,4041.9500,181.3432,2.50
47,0.99785149,1.0000,4097,7.7791,14.5446,3927.7250,354.8411,2.55
48,0.99785149,1.0000,4097,5.3161,8.8247,3987.7250,235.0495,2.61
49,0.99787996,1.0000,4097,4.3011,8.8485,4013.6750,235.1936,2.66
50,0.99792964,1.0000,4097,4.6796,10.8976,4022.3000,246.9073,2.71
51,0.99792964,1.0000,4097,5.3409,9.0796,3996.4250,239.5759,2.76
52,0.99792964,1.0000,4097,5.2697,10.0778,3994.1750,256.6114,2.81
53,0.99792989,1.0000,4097,7.5022,14.7174,3950.9750,339.1018,2.87
54,0.99792989,1.0000,4097,6.6799,10.5970,3972.6500,278.9903,2.92
55,0.99795291,1.0000,4097,5.2909,10.7786,3990.8000,276.3966,2.98
56,0.99795662,1.0000,4097,7.0901,15.8612,3962.5250,349.0967,3.03
57,0.99796206,1.0000,4097,5.3530,12.4121,4004.6750,285.6651,3.08
58,0.99796576,1.0000,4097,5.2543,12.0285,4012.0250,272.8313,3.13
59,0.99796700,1.0000,4097,9.0130,15.4592,3913.7000,369.0535,3.18
60,0.99796888,1.0000,4097,2.2664,4.7787,4066.6250,130.5227,3.24
61,0.99797581,1.0000,4097,4.6565,9.9928,4016.5250,249.1535,3.29
62,0.99797610,1.0000,4097,10.0226,16.3786,3874.2500,399.0416,3.34
63,0.99797726,1.0000,4097,5.0615,9.1930,3998.4500,244.2243,3.40
64,0.99798172,1.0000,4097,3.9449,6.4048,4033.4750,165.8119,3.46
65,0.99799525,1.0000,4097,7.6023,13.4251,3934.6250,344.7137,3.51
66,0.99799525,1.0000,4097,6.5633,12.6126,3967.1000,322.0931,3.56
67,0.99799525,1.0000,4097,2.7465,5.1623,4052.5250,136.1681,3.62
68,0.99799913,1.0000,4097,4.7971,10.9877,4007.3000,257.2111,3.67
69,0.99799913,1.0000,4097,6.7799,11.7243,3958.2500,310.6650,3.72
70,0.99799913,1.0000,4097,4.0587,9.5754,4016.9000,246.5739,3.78
71,0.99799913,1.0000,4097,4.7940,10.6271,4004.4500,267.3971,3.83
72,0.99799913,1.0000,4097,8.1530,14.2965,3929.0000,345.4341,3.88
73,0.99800237,1.0000,4097,2.4460,4.6449,4075.1750,115.8287,3.94
74,0.99800797,1.0000,4097,2.6849,5.2152,4066.0250,130.6592,3.99
75,0.99801189,1.0000,4097,5.0723,10.0235,4001.6000,263.4926,4.04
76,0.99801203,1.0000,4097,4.2325,6.6655,4024.9250,174.6795,4.10
