rank,fitness,T,m
0,0.99840718,1.0000,4097
1,0.99840421,1.0000,4097
2,0.99840411,1.0000,4097
3,0.99840324,1.0000,4097
4,0.99840019,1.0000,4097
5,0.99840015,1.0000,4097
6,0.99839198,1.0000,4097
7,0.99839148,1.0000,4097
8,0.99839132,1.0000,4097
9,0.99838988,1.0000,4097
10,0.99837289,1.0000,4097
11,0.99836788,1.0000,4097
12,0.99836449,1.0000,4097
13,0.99836041,1.0000,4097
14,0.99835764,1.0000,4097
15,0.99835614,1.0000,4097
16,0.99835236,1.0000,4097
17,0.99834005,1.0000,4097
18,0.99834001,1.0000,4097
19,0.99833241,1.0000,4097
20,0.99832488,1.0000,4097
21,0.99832478,1.0000,4097
22,0.99832309,1.0000,4097
23,0.99831975,1.0000,4097
24,0.99831602,1.0000,4097
25,0.99831005,1.0000,4097
26,0.99830676,1.0000,4097
27,0.99830419,1.0000,4097
28,0.99827664,1.0000,4097
29,0.99826262,1.0000,4097
30,0.99820974,8.4024,4097
31,0.99818443,3.8444,4097
32,0.99817091,4.8197,4097
33,0.99806722,17.3387,3722
34,0.99803820,22.0103,3527
35,0.99801407,22.4002,3527
36,0.99795852,20.3913,3593
37,0.99787640,40.0122,3089
38,0.99781390,38.0964,3164
39,0.99772121,56.7626,2858
